"par","HK.RSV.mu.CI95","HK.HFMD.mu.CI95","SK.RSV.mu.CI95","SK.HFMD.mu.CI95"
"beta1","1.73 (1.26, 2.27)","0.28 (0.20, 0.74)","0.08 (-0.00, 0.15)","-1.09 (-1.12, -1.06)"
"beta2","-0.86 (-1.42, -0.48)","-0.54 (-0.82, -0.39)","0.34 (0.31, 0.38)","-0.00 (-0.02, -0.00)"
"beta3","-0.13 (-0.34, 0.04)","-0.08 (-0.20, 0.01)","0.12 (0.07, 0.18)","-0.21 (-0.22, -0.19)"
"beta4","0.38 (0.24, 0.57)",-,-,-
"beta5","-0.19 (-0.47, -0.01)",-,-,-
"phi","0.16 (0.15, 0.17)","0.10 (0.09, 0.11)","0.21 (0.18, 0.24)","0.16 (0.15, 0.18)"
"psi_1","3.03 (2.58, 3.51)","1.58 (1.36, 1.83)","2.34 (1.87, 2.86)","3.58 (2.93, 4.31)"
"seed","0.12 (0.09, 0.15)","0.80 (0.63, 1.00)","0.02 (0.02, 0.03)","0.22 (0.18, 0.28)"
"b_c1","-0.01 (-0.11, -0.00)","1.19 (0.57, 1.67)","0.26 (0.14, 0.42)","1.82 (1.16, 2.53)"
"b_c2_100","1.01 (0.79, 1.15)","4.69 (3.83, 5.58)","0.23 (0.02, 0.48)","3.85 (2.27, 5.53)"
"b_c3","0.42 (-0.08, 1.15)","-4.84 (-9.67, -0.67)","5.53 (1.23, 9.79)","5.69 (1.53, 9.80)"
"psi_2","0.73 (0.61, 0.85)","2.27 (1.85, 2.74)","1.25 (1.04, 1.48)","2.47 (2.03, 2.94)"
